Episode,Steps,Time,Converged at Iterations
0,17,0.020003795623779297,2
1,24,0.027034759521484375,3
2,27,0.01596522331237793,2
3,33,0.01599407196044922,2
4,20,0.02503371238708496,2
5,50,0.022969484329223633,3
6,8,0.014023303985595703,2
7,33,0.019999980926513672,3
8,29,0.010022640228271484,1
9,77,0.02497410774230957,5
10,30,0.026000022888183594,5
11,95,0.028004169464111328,5
12,95,0.028998851776123047,5
13,12,0.025998353958129883,5
14,70,0.022004365921020508,3
15,53,0.03800010681152344,5
16,36,0.027008533477783203,4
17,100,0.024997949600219727,3
18,31,0.020005464553833008,3
19,48,0.026015520095825195,5
20,7,0.0299985408782959,3
21,42,0.02602076530456543,3
22,39,0.02397942543029785,4
23,56,0.026000022888183594,4
24,12,0.031000614166259766,5
25,14,0.01599740982055664,2
26,14,0.023996829986572266,3
27,14,0.02201080322265625,3
28,95,0.020995140075683594,3
29,85,0.025011539459228516,2
30,18,0.01902008056640625,2
31,24,0.021072864532470703,4
32,15,0.021002531051635742,2
33,22,0.017002105712890625,2
34,47,0.024995088577270508,5
35,16,0.02400493621826172,3
36,23,0.019994735717773438,3
37,50,0.024999618530273438,5
38,45,0.02600240707397461,5
39,20,0.033029794692993164,5
40,36,0.029531240463256836,5
41,43,0.02596116065979004,4
42,100,0.0200042724609375,3
43,77,0.01100468635559082,1
44,31,0.01596379280090332,2
45,21,0.01600337028503418,2
46,34,0.027996540069580078,5
47,100,0.018001556396484375,2
48,67,0.023001670837402344,3
49,37,0.018998146057128906,2
50,20,0.018004179000854492,2
51,24,0.0229952335357666,3
52,13,0.026035070419311523,2
53,55,0.023995399475097656,5
54,47,0.022994279861450195,3
55,28,0.03100728988647461,5
56,9,0.02399420738220215,3
57,12,0.028998136520385742,3
58,23,0.019999265670776367,2
59,8,0.015999555587768555,2
60,23,0.022002696990966797,2
61,44,0.02399754524230957,2
62,48,0.023014545440673828,2
63,68,0.016010046005249023,2
64,55,0.024001598358154297,2
65,30,0.02100086212158203,3
66,83,0.028969764709472656,5
67,69,0.03000330924987793,3
68,20,0.017009735107421875,2
69,100,0.02398371696472168,3
70,23,0.026994943618774414,5
71,14,0.015000104904174805,2
72,21,0.017999649047851562,2
73,100,0.023998498916625977,4
74,83,0.020023345947265625,3
75,8,0.032985687255859375,5
76,89,0.030997037887573242,5
77,41,0.02750706672668457,3
78,17,0.01897573471069336,1
79,20,0.021998167037963867,2
80,38,0.02600240707397461,5
81,20,0.024001598358154297,5
82,22,0.021996736526489258,4
83,29,0.0200045108795166,3
84,23,0.028005123138427734,5
85,77,0.01902914047241211,3
86,31,0.018974781036376953,3
87,9,0.029682159423828125,5
88,49,0.024994611740112305,5
89,63,0.020000457763671875,3
90,52,0.01799917221069336,2
