Episode,Steps,Time,Converged at Iterations
0,39,0.02403426170349121,79
1,23,0.026958942413330078,79
2,51,0.022003650665283203,79
3,74,0.023213863372802734,79
4,29,0.022980928421020508,79
5,100,0.021999359130859375,79
6,100,0.028011560440063477,79
7,18,0.020984172821044922,79
8,26,0.021010637283325195,79
9,100,0.02400374412536621,79
10,20,0.0210113525390625,79
11,25,0.02298903465270996,79
12,33,0.02199530601501465,79
13,57,0.0200040340423584,79
14,25,0.019990205764770508,79
15,30,0.02301025390625,79
16,22,0.02102494239807129,79
17,28,0.020977497100830078,79
18,46,0.023015499114990234,79
19,43,0.018998146057128906,79
20,50,0.020987987518310547,79
21,11,0.02300262451171875,79
22,88,0.022997617721557617,79
23,17,0.018999814987182617,79
24,17,0.020005464553833008,79
25,52,0.02401876449584961,79
26,12,0.019968748092651367,79
27,64,0.02399754524230957,79
28,11,0.02199578285217285,79
29,43,0.022005081176757812,79
30,28,0.02499985694885254,79
31,79,0.02201700210571289,79
32,32,0.025027990341186523,79
33,34,0.019972562789916992,79
34,33,0.021982669830322266,79
35,18,0.019988059997558594,79
36,15,0.023980140686035156,79
37,40,0.021024227142333984,79
38,88,0.023987531661987305,79
39,16,0.021981477737426758,79
40,67,0.021000385284423828,79
41,51,0.02097916603088379,79
42,25,0.022198200225830078,79
43,32,0.02262091636657715,79
44,35,0.026984214782714844,79
45,9,0.022017955780029297,79
46,45,0.022059917449951172,79
47,29,0.020987749099731445,79
48,31,0.022012710571289062,79
49,33,0.024983882904052734,79
50,65,0.023998498916625977,79
51,22,0.025013208389282227,79
52,51,0.02102065086364746,79
53,30,0.02158069610595703,79
54,24,0.024980545043945312,79
55,100,0.019994258880615234,79
56,6,0.022002696990966797,79
57,100,0.020992755889892578,79
58,7,0.02002120018005371,79
59,14,0.022984027862548828,79
60,8,0.02200031280517578,79
61,16,0.021998167037963867,79
62,19,0.0240023136138916,79
63,63,0.020003080368041992,79
64,100,0.023961305618286133,79
65,24,0.024005651473999023,79
66,100,0.021967411041259766,79
67,43,0.025008440017700195,79
68,37,0.023055553436279297,79
69,24,0.023001432418823242,79
70,62,0.021010398864746094,79
71,20,0.02201056480407715,79
72,34,0.0240018367767334,79
73,26,0.02299976348876953,79
74,7,0.02199530601501465,79
75,36,0.022026538848876953,79
76,33,0.020968198776245117,79
77,100,0.023000717163085938,79
78,55,0.023540258407592773,79
79,14,0.020987510681152344,79
80,21,0.01900482177734375,79
81,13,0.0219876766204834,79
82,60,0.022004127502441406,79
83,18,0.02202153205871582,79
84,79,0.02497243881225586,79
85,80,0.018999576568603516,79
86,50,0.021997690200805664,79
87,52,0.025022506713867188,79
88,35,0.02198934555053711,79
