Episode,Steps,Time,Converged at Iterations
0,63,0.23099994659423828,8
1,73,0.22803950309753418,8
2,28,0.23099732398986816,8
3,25,0.24799609184265137,9
4,87,0.21305561065673828,7
5,86,0.1349952220916748,3
6,65,0.12711834907531738,3
7,54,0.26804089546203613,9
8,61,0.2109987735748291,8
9,88,0.1326124668121338,3
10,72,0.15907502174377441,4
11,45,0.09299683570861816,2
12,49,0.3129997253417969,9
13,92,0.09101104736328125,2
14,61,0.19954419136047363,7
15,200,0.14104390144348145,3
16,44,0.14656448364257812,4
17,35,0.2565629482269287,9
18,51,0.22603797912597656,8
19,37,0.1450057029724121,3
20,83,0.11299967765808105,3
21,46,0.21600055694580078,8
22,85,0.22799944877624512,8
23,36,0.21199750900268555,8
24,84,0.2149975299835205,8
25,40,0.24400115013122559,9
26,85,0.202040433883667,8
27,69,0.0990445613861084,2
28,26,0.1690208911895752,4
29,74,0.08800339698791504,2
30,105,0.22603344917297363,8
31,32,0.2180042266845703,8
32,54,0.22900152206420898,8
33,130,0.14899849891662598,4
34,47,0.22000908851623535,8
35,40,0.21300125122070312,8
36,53,0.14999985694885254,4
37,113,0.1329939365386963,3
38,181,0.09099888801574707,2
39,43,0.22296690940856934,8
40,65,0.12799668312072754,3
41,39,0.11800217628479004,3
42,119,0.17182135581970215,4
43,49,0.12798595428466797,3
44,51,0.22199797630310059,8
45,28,0.2100067138671875,7
46,42,0.26199960708618164,9
47,99,0.12499713897705078,3
48,35,0.22899889945983887,9
49,38,0.235992431640625,8
50,88,0.1430037021636963,3
51,81,0.13200139999389648,3
52,93,0.23400497436523438,8
53,27,0.21700048446655273,8
54,55,0.09900188446044922,2
55,94,0.22699856758117676,8
56,119,0.22002339363098145,8
57,38,0.2219994068145752,8
58,61,0.21282005310058594,8
59,81,0.21053028106689453,8
60,34,0.26599931716918945,8
61,200,0.13599562644958496,4
62,66,0.14700007438659668,4
63,18,0.12799835205078125,3
64,118,0.21699762344360352,7
65,51,0.15199995040893555,3
66,41,0.15000224113464355,3
67,103,0.20200085639953613,6
68,22,0.2629866600036621,8
69,104,0.10300850868225098,2
70,81,0.2801082134246826,8
71,52,0.2689957618713379,7
72,116,0.1490011215209961,3
73,20,0.15799903869628906,3
74,30,0.2972571849822998,8
75,98,0.13105559349060059,3
76,52,0.24300146102905273,8
77,46,0.10799789428710938,2
78,68,0.2609996795654297,9
79,84,0.20299649238586426,7
80,176,0.1560041904449463,4
81,102,0.08898043632507324,2
82,66,0.09399867057800293,2
83,38,0.1550281047821045,4
84,36,0.14651846885681152,4
85,62,0.221785306930542,8
86,45,0.16499829292297363,4
87,63,0.22199678421020508,8
88,39,0.13199853897094727,4
89,42,0.13499975204467773,4
90,31,0.08599972724914551,2
91,67,0.11300015449523926,3
92,126,0.1210029125213623,3
93,56,0.15199995040893555,4
94,107,0.2519984245300293,9
95,29,0.21601605415344238,8
96,39,0.13602876663208008,3
97,87,0.11800098419189453,3
98,44,0.12709569931030273,3
99,94,0.13499975204467773,3
100,40,0.26053452491760254,9
101,107,0.22806167602539062,8
102,123,0.22814154624938965,8
103,25,0.22751522064208984,8
104,88,0.23199915885925293,8
105,40,0.2575368881225586,8
106,30,0.1289987564086914,3
107,52,0.1450023651123047,3
108,137,0.2389967441558838,8
109,36,0.12499713897705078,3
110,115,0.220001220703125,8
