Episode,Steps,Time,Converged at Iterations
0,97,0.12000322341918945,3
1,40,0.09402346611022949,2
2,54,0.1730060577392578,5
3,119,0.22250795364379883,8
4,82,0.15898680686950684,4
5,29,0.16451120376586914,5
6,99,0.14751887321472168,4
7,70,0.23499369621276855,9
8,70,0.2495272159576416,9
9,38,0.1200563907623291,3
10,119,0.15200304985046387,4
11,96,0.2179877758026123,8
12,98,0.23000621795654297,8
13,20,0.17702245712280273,4
14,90,0.15557575225830078,4
15,72,0.13697195053100586,3
16,38,0.2740025520324707,9
17,82,0.0950021743774414,2
18,102,0.13899540901184082,4
19,200,0.11799979209899902,3
20,75,0.08098006248474121,2
21,110,0.13300156593322754,3
22,170,0.22100424766540527,8
23,102,0.12600231170654297,3
24,136,0.22805166244506836,8
25,77,0.24102210998535156,9
26,48,0.24051976203918457,8
27,84,0.25099945068359375,9
28,33,0.10251188278198242,3
29,51,0.12400984764099121,3
30,58,0.13460850715637207,3
31,40,0.12799644470214844,3
32,93,0.14152765274047852,3
33,123,0.14300179481506348,4
34,55,0.20099878311157227,7
35,76,0.23100519180297852,9
36,62,0.16399741172790527,5
37,41,0.11599898338317871,3
38,94,0.0969998836517334,2
39,47,0.16299676895141602,4
40,42,0.13804340362548828,3
41,93,0.1635277271270752,4
42,120,0.12400078773498535,3
43,37,0.1250004768371582,3
44,54,0.22299647331237793,8
45,107,0.2419743537902832,8
46,119,0.13106203079223633,3
47,71,0.21502947807312012,8
48,75,0.12700510025024414,3
49,45,0.2720346450805664,9
50,71,0.16104459762573242,4
51,60,0.26000094413757324,9
52,55,0.22707462310791016,8
53,90,0.0939640998840332,2
54,44,0.16699910163879395,5
55,75,0.12450551986694336,3
56,82,0.24653363227844238,8
57,157,0.09900021553039551,2
58,124,0.12401247024536133,3
59,23,0.23198199272155762,9
60,37,0.13399910926818848,3
61,44,0.24800682067871094,8
62,61,0.2280106544494629,8
63,56,0.1419365406036377,4
64,71,0.257007360458374,9
65,93,0.139998197555542,4
66,63,0.16609549522399902,4
67,77,0.13956880569458008,3
68,63,0.27422380447387695,9
69,62,0.22307991981506348,8
70,10,0.11900138854980469,3
71,33,0.20899677276611328,7
72,53,0.25400304794311523,9
73,78,0.16006040573120117,4
74,63,0.12400364875793457,3
75,83,0.25203442573547363,9
