Episode,Steps,Time,Converged at Iterations
0,11,1.2050635814666748,116
1,10,1.1980304718017578,116
2,12,1.1365866661071777,116
3,14,1.1525371074676514,116
4,15,1.156013011932373,116
5,14,1.1573891639709473,116
6,10,1.1981329917907715,116
7,11,1.1966447830200195,116
8,13,1.1871719360351562,116
9,18,1.1849267482757568,116
10,13,1.1748602390289307,116
11,14,1.1901187896728516,116
12,16,1.2042739391326904,116
13,15,1.178269863128662,116
14,12,1.1597349643707275,116
15,15,1.180617094039917,116
16,13,1.1980140209197998,116
17,13,1.134875774383545,116
18,12,1.1949410438537598,116
19,14,1.190563678741455,116
20,15,1.1790752410888672,116
21,8,1.2291240692138672,116
22,15,1.1667745113372803,116
23,11,1.172945499420166,116
24,13,1.1852035522460938,116
25,12,1.191589117050171,116
26,11,1.183565378189087,116
27,14,1.1631789207458496,116
28,15,1.1851158142089844,116
29,12,1.2512822151184082,116
30,14,1.2601354122161865,116
31,15,1.2056386470794678,116
32,10,1.1300818920135498,116
33,16,1.185089349746704,116
34,16,1.1681163311004639,116
35,9,1.1822631359100342,116
36,12,1.1396126747131348,116
37,11,1.1876142024993896,116
38,18,1.1560969352722168,116
39,13,1.1703622341156006,116
40,14,1.1565701961517334,116
41,12,1.122814416885376,116
42,14,1.1450371742248535,116
43,12,1.1590204238891602,116
44,13,1.184959888458252,116
45,13,1.1536295413970947,116
46,15,1.1655774116516113,116
47,14,1.206021785736084,116
48,16,1.1560146808624268,116
49,11,1.1779839992523193,116
50,14,1.1340272426605225,116
51,12,1.1907360553741455,116
52,16,1.1956298351287842,116
53,11,1.2470223903656006,116
54,16,1.39760160446167,116
55,11,1.1590604782104492,116
56,13,1.1881911754608154,116
57,12,1.167076826095581,116
58,17,1.1766743659973145,116
59,15,1.1452531814575195,116
60,12,1.1586520671844482,116
61,11,1.167334794998169,116
62,14,1.1620543003082275,116
63,13,1.1766858100891113,116
64,15,1.1610183715820312,116
65,10,1.1763875484466553,116
66,11,1.1371393203735352,116
67,9,1.1614465713500977,116
68,18,1.1590735912322998,116
69,6,1.149519443511963,116
70,16,1.1712334156036377,116
71,13,1.1627459526062012,116
72,13,1.168095350265503,116
73,13,1.2025790214538574,116
74,14,1.1680490970611572,116
75,18,1.1799957752227783,116
76,13,1.181974172592163,116
77,14,1.1642255783081055,116
78,6,1.2101719379425049,116
79,10,1.1740694046020508,116
80,16,1.133472204208374,116
81,9,1.1810545921325684,116
82,10,1.1598310470581055,116
83,17,1.1846070289611816,116
84,14,1.1347801685333252,116
85,16,1.1656639575958252,116
86,16,1.7730014324188232,116
87,16,1.5650098323822021,116
88,9,1.1681733131408691,116
89,11,1.1940348148345947,116
90,15,1.188202142715454,116
91,14,1.2283077239990234,116
92,17,1.312941312789917,116
93,15,1.3440136909484863,116
94,11,1.1427688598632812,116
95,12,1.20119047164917,116
96,16,1.1779131889343262,116
97,10,1.1671063899993896,116
98,16,1.2035913467407227,116
99,15,1.2327353954315186,116
