Episode,Steps,Time,Converged at Iterations
0,17,1.5135204792022705,116
1,17,1.5393023490905762,116
2,11,1.2719178199768066,116
3,11,1.232011079788208,116
4,14,1.385805368423462,116
5,15,1.2625110149383545,116
6,16,1.4436800479888916,116
7,14,1.2801146507263184,116
8,14,1.1313538551330566,116
9,13,1.2967791557312012,116
10,13,1.23579740524292,116
11,11,1.2268710136413574,116
12,17,1.1247544288635254,116
13,11,1.173105001449585,116
14,14,1.1651194095611572,116
15,14,1.1762235164642334,116
16,13,1.1731033325195312,116
17,14,1.1200714111328125,116
18,12,1.18548583984375,116
19,12,1.118617057800293,116
20,14,1.1189634799957275,116
21,8,1.0941994190216064,116
22,8,1.1238336563110352,116
23,11,1.1490912437438965,116
24,12,1.090735912322998,116
25,17,1.161064863204956,116
26,15,1.091675043106079,116
27,9,1.1484003067016602,116
28,11,1.1241188049316406,116
29,14,1.1267127990722656,116
30,14,1.1224868297576904,116
31,14,1.1791460514068604,116
32,16,1.1735644340515137,116
33,12,1.167487621307373,116
34,15,1.1486411094665527,116
35,15,1.2304275035858154,116
36,7,1.1310985088348389,116
37,10,1.2288665771484375,116
38,13,1.166999101638794,116
39,16,1.2129240036010742,116
40,18,1.1340770721435547,116
41,7,1.393610954284668,116
42,11,1.2391529083251953,116
43,12,1.168339729309082,116
44,16,1.1552042961120605,116
45,14,1.1578052043914795,116
46,18,1.5733020305633545,116
47,12,1.135497808456421,116
48,10,1.1232378482818604,116
49,12,1.1626849174499512,116
50,11,1.2004320621490479,116
51,13,1.2462329864501953,116
52,13,1.1868627071380615,116
53,14,1.2163105010986328,116
54,15,1.2692551612854004,116
55,15,1.2861027717590332,116
56,17,1.2520456314086914,116
57,16,1.2536695003509521,116
58,15,1.3280246257781982,116
59,9,1.2671284675598145,116
60,14,1.301072120666504,116
61,13,1.2820110321044922,116
62,11,1.1761658191680908,116
63,15,1.2381865978240967,116
64,12,1.2220242023468018,116
65,18,1.2266039848327637,116
66,10,1.2791361808776855,116
67,15,1.1984939575195312,116
68,7,1.2258987426757812,116
69,18,1.188326120376587,116
70,14,1.1550655364990234,116
71,17,1.1726081371307373,116
72,15,1.1274077892303467,116
73,10,1.1991701126098633,116
74,13,1.1087121963500977,116
75,13,1.1561439037322998,116
76,15,1.1472740173339844,116
77,13,1.2298517227172852,116
78,9,1.149451494216919,116
79,13,1.1367461681365967,116
80,13,1.259202241897583,116
81,14,1.1796669960021973,116
82,12,1.1415972709655762,116
83,13,1.112316608428955,116
84,11,1.1394455432891846,116
85,14,1.192101001739502,116
86,12,1.1290879249572754,116
87,15,1.220233678817749,116
88,14,1.1989803314208984,116
89,14,1.1470482349395752,116
90,17,1.130894422531128,116
91,12,1.0960922241210938,116
92,9,1.1272428035736084,116
93,7,1.1535227298736572,116
94,15,1.1139981746673584,116
95,12,1.1180453300476074,116
96,16,1.1582472324371338,116
97,15,1.101449966430664,116
98,11,1.2210376262664795,116
99,16,1.0773916244506836,116
