Episode,Steps,Time,Converged at Iterations
0,10,1.1099183559417725,116
1,13,1.117905855178833,116
2,16,1.0180401802062988,116
3,11,1.1490259170532227,116
4,15,1.0651702880859375,116
5,12,1.1181647777557373,116
6,10,1.149679183959961,116
7,14,1.137281894683838,116
8,10,1.1605312824249268,116
9,14,1.094893455505371,116
10,14,1.2450814247131348,116
11,13,1.207468032836914,116
12,13,1.0515875816345215,116
13,11,1.1318964958190918,116
14,15,1.055037260055542,116
15,15,1.205775499343872,116
16,13,1.1084606647491455,116
17,11,1.2209818363189697,116
18,11,1.1307110786437988,116
19,16,1.048375129699707,116
20,12,1.055804967880249,116
21,11,1.039762020111084,116
22,9,1.0711450576782227,116
23,14,1.122140884399414,116
24,16,1.0439975261688232,116
25,16,1.0646419525146484,116
26,13,1.071709394454956,116
27,14,1.0609822273254395,116
28,14,1.0655972957611084,116
29,16,1.0393002033233643,116
30,12,1.052722692489624,116
31,12,1.0036673545837402,116
32,14,1.041640043258667,116
33,9,1.0822534561157227,116
34,17,1.0685327053070068,116
35,10,1.063399076461792,116
36,17,1.0750715732574463,116
37,10,1.0821573734283447,116
38,11,1.0448658466339111,116
39,15,1.070598840713501,116
40,12,1.1278595924377441,116
41,12,1.0226192474365234,116
42,15,1.0695021152496338,116
43,10,1.0239453315734863,116
44,17,1.0700631141662598,116
45,18,1.0542209148406982,116
46,15,1.039229393005371,116
47,10,0.9970238208770752,116
48,11,1.031609296798706,116
49,8,1.0250532627105713,116
50,12,0.9995887279510498,116
51,13,1.0389988422393799,116
52,16,1.0740764141082764,116
53,15,1.0487079620361328,116
54,13,1.0535595417022705,116
55,13,1.0274970531463623,116
56,10,1.0062386989593506,116
57,15,0.992835521697998,116
58,15,1.3566627502441406,116
59,13,1.5060293674468994,116
60,16,1.0667953491210938,116
61,17,1.0827984809875488,116
62,14,1.0272302627563477,116
63,14,1.0278584957122803,116
64,10,1.0817952156066895,116
65,13,1.043900966644287,116
66,17,1.0070502758026123,116
67,6,1.0554449558258057,116
68,11,1.0017426013946533,116
69,18,1.079136610031128,116
70,12,1.019714593887329,116
71,16,1.0340449810028076,116
72,11,0.9770233631134033,116
73,16,1.233752727508545,116
74,9,1.0690903663635254,116
75,14,1.1438453197479248,116
76,16,1.1369755268096924,116
77,16,1.0520503520965576,116
78,10,1.171515941619873,116
79,16,1.0967354774475098,116
80,7,1.2020020484924316,116
81,14,1.1514363288879395,116
82,14,1.0843219757080078,116
83,12,1.100816011428833,116
84,15,1.191202163696289,116
85,17,1.0975091457366943,116
86,7,1.1431052684783936,116
87,9,1.050046443939209,116
88,13,1.1613960266113281,116
89,15,1.1236677169799805,116
90,12,1.0796334743499756,116
91,8,1.149482250213623,116
92,13,1.1952033042907715,116
93,10,1.1784512996673584,116
94,16,1.183161735534668,116
95,17,1.052053451538086,116
96,13,1.0489270687103271,116
97,14,1.1280252933502197,116
98,18,1.04219388961792,116
99,12,1.037677526473999,116
