Episode,Steps,Time,Converged at Iterations
0,12,2.2260098457336426,17
1,18,2.0271265506744385,17
2,15,2.0255541801452637,17
3,15,1.7981269359588623,15
4,14,2.0572025775909424,17
5,8,1.9061613082885742,16
6,11,2.1043527126312256,17
7,13,2.032773017883301,16
8,13,1.9976258277893066,16
9,14,2.0282225608825684,17
10,14,1.8837029933929443,16
11,15,1.8411383628845215,15
12,12,1.7635681629180908,15
13,9,1.83831787109375,15
14,9,2.0699684619903564,16
15,13,1.5943019390106201,14
16,8,1.903031349182129,16
17,15,2.0628445148468018,17
18,9,2.0296590328216553,17
19,16,1.8645894527435303,15
20,14,2.101274251937866,17
21,10,2.0379791259765625,17
22,14,1.8676564693450928,15
23,15,2.010223865509033,17
24,11,2.0496959686279297,17
25,12,2.0041377544403076,17
26,16,2.038445472717285,17
27,12,1.968355655670166,17
28,11,2.0092499256134033,17
29,7,1.725595235824585,15
30,16,1.9819633960723877,17
31,13,1.9380576610565186,17
32,12,1.746497631072998,15
33,13,2.0456535816192627,17
34,13,2.0696239471435547,17
35,12,2.1828906536102295,17
36,12,2.080230474472046,17
37,11,2.1165452003479004,17
38,13,1.8814680576324463,16
39,14,2.090395212173462,17
40,12,1.8264451026916504,15
41,14,1.8579726219177246,16
42,11,1.846423864364624,16
43,14,1.9702625274658203,17
44,8,1.9538309574127197,17
45,14,1.7962160110473633,16
46,14,2.082298994064331,17
47,15,1.989656925201416,17
48,7,2.0070106983184814,17
49,13,1.8469839096069336,16
50,12,1.7345712184906006,15
51,10,1.904810905456543,16
52,16,2.0655150413513184,17
53,17,2.0364649295806885,17
54,13,2.1961193084716797,17
55,15,1.8863213062286377,15
56,7,1.8943281173706055,16
57,17,2.1697049140930176,17
58,16,1.7071788311004639,14
59,9,2.2296111583709717,17
60,7,3.3245420455932617,17
61,15,2.6286816596984863,17
62,14,3.0360007286071777,17
63,10,2.784059524536133,17
64,12,3.3250279426574707,17
65,16,2.880995988845825,16
66,13,2.6936631202697754,17
67,13,2.039189100265503,16
68,11,2.513302803039551,17
69,12,2.3197576999664307,15
70,12,2.754058837890625,17
71,11,2.4489810466766357,17
72,16,2.3939220905303955,17
73,12,2.226365327835083,16
74,15,2.4387598037719727,17
75,14,2.197445869445801,16
76,15,2.540036916732788,15
77,11,2.3382749557495117,16
78,12,2.2914786338806152,17
79,14,2.6641674041748047,17
80,18,1.982907772064209,14
81,16,2.581613063812256,17
82,15,2.7612128257751465,17
83,15,2.1522085666656494,16
84,12,2.3963005542755127,16
85,15,2.3710415363311768,17
86,17,2.269096612930298,17
87,13,2.1153271198272705,16
88,9,2.7846896648406982,17
89,14,2.8237664699554443,16
90,13,2.059433937072754,16
91,14,2.4169092178344727,16
92,13,2.052327871322632,14
93,13,2.3276207447052,15
94,16,2.482367992401123,17
95,11,2.0853025913238525,15
96,7,2.3421413898468018,17
97,14,2.504368305206299,17
98,10,2.1487276554107666,17
99,15,1.9204490184783936,16
