Episode,Steps,Time,Converged at Iterations
0,13,1.085322380065918,116
1,15,1.068589687347412,116
2,15,1.1440308094024658,116
3,13,1.0667681694030762,116
4,11,1.0718600749969482,116
5,11,1.104034423828125,116
6,12,1.1084258556365967,116
7,15,1.1125531196594238,116
8,17,1.0360932350158691,116
9,13,1.062589406967163,116
10,14,1.1050381660461426,116
11,18,1.1028566360473633,116
12,13,1.0839009284973145,116
13,13,1.0800013542175293,116
14,15,1.071462869644165,116
15,11,1.0580012798309326,116
16,18,1.0507235527038574,116
17,13,1.119856834411621,116
18,15,1.0371358394622803,116
19,13,1.057492971420288,116
20,15,1.1042611598968506,116
21,9,1.128939151763916,116
22,12,1.099031925201416,116
23,12,1.0721137523651123,116
24,17,1.0701463222503662,116
25,17,1.088834524154663,116
26,11,1.1214218139648438,116
27,13,1.1783466339111328,116
28,17,1.12153959274292,116
29,15,1.0376863479614258,116
30,13,1.0621252059936523,116
31,9,1.0922977924346924,116
32,17,1.082141637802124,116
33,10,1.0590245723724365,116
34,16,1.084604024887085,116
35,15,1.0528373718261719,116
36,15,1.0531668663024902,116
37,10,1.0341124534606934,116
38,12,1.05368971824646,116
39,14,1.086803913116455,116
40,9,1.1211979389190674,116
41,14,1.2576513290405273,116
42,14,1.3081729412078857,116
43,11,1.307234764099121,116
44,14,1.2547290325164795,116
45,9,1.225139856338501,116
46,14,1.229806661605835,116
47,16,1.3967316150665283,116
48,17,1.270646333694458,116
49,10,1.253171443939209,116
50,11,1.146634578704834,116
51,13,1.2645773887634277,116
52,16,1.2977049350738525,116
53,16,1.193084716796875,116
54,13,1.347705364227295,116
55,11,1.308098316192627,116
56,14,1.287207841873169,116
57,10,1.400606632232666,116
58,16,1.190131664276123,116
59,15,1.2016150951385498,116
60,14,1.201998233795166,116
61,16,1.133671522140503,116
62,13,1.2126743793487549,116
63,12,1.0770635604858398,116
64,10,1.1761558055877686,116
65,10,1.1264262199401855,116
66,15,1.3525660037994385,116
67,13,1.3073451519012451,116
68,15,1.7682437896728516,116
69,13,2.6925323009490967,116
70,11,1.8660011291503906,116
71,16,1.3309991359710693,116
72,12,1.2253503799438477,116
73,12,1.0500104427337646,116
74,17,1.1013240814208984,116
75,16,1.0711379051208496,116
76,15,1.0249993801116943,116
77,17,1.144381046295166,116
78,8,1.0579493045806885,116
79,15,1.2509737014770508,116
80,14,1.2752244472503662,116
81,16,1.1021475791931152,116
82,15,1.0813252925872803,116
83,14,1.0550477504730225,116
84,14,1.1197421550750732,116
85,7,1.1836717128753662,116
86,12,1.0955801010131836,116
87,13,1.0174329280853271,116
88,13,1.0340526103973389,116
89,13,1.0544822216033936,116
90,13,0.9650969505310059,116
91,11,1.0675554275512695,116
92,11,0.9763438701629639,116
93,17,0.9860942363739014,116
94,15,1.0176868438720703,116
95,15,1.0330109596252441,116
96,16,0.9546263217926025,116
97,14,0.986933708190918,116
98,14,0.9935512542724609,116
99,14,0.9881329536437988,116
